URL	chrom://pc-3vxg514/ChromeleonLocal/Data/2024/2024_w23.seq/356.smp/UV_VIS_2.channel/UV_VIS_2.chm
Channel	UV_VIS_2

Injection Information:
Data Vault	ChromeleonLocal
Sequence	2024_w23
Name	ODIBO_click_30min
Number	69
Position	GE5
Comment	
Processing Method	General_ILK
Instrument Method	5-100pct_positive_3min
Type	Calibration Standard
Status	Finished
Inject Time	6/5/2024 2:35:42 PM +02:00
Volume (µl)	1.5000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	3.100000
Data Points	931
Detector	UV
Generating Data System	Chromeleon 7.3.2.11814
Exporting Data System	Chromeleon 7.3.2.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.374226
Signal Max.	465.567680
Channel	UV_VIS_2
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:254 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.000000	n.a.	0.000000
0.003333	0.2	0.000181
0.006667	0.2	0.000865
0.010000	0.2	0.001420
0.013333	0.2	-0.000131
0.016667	0.2	-0.005029
0.020000	0.2	-0.012224
0.023333	0.2	-0.019539
0.026667	0.2	-0.025244
0.030000	0.2	-0.028447
0.033333	0.2	-0.029066
0.036667	0.2	-0.027623
0.040000	0.2	-0.024961
0.043333	0.2	-0.022181
0.046667	0.2	-0.020382
0.050000	0.2	-0.020240
0.053333	0.2	-0.021882
0.056667	0.2	-0.024903
0.060000	0.2	-0.028618
0.063333	0.2	-0.032521
0.066667	0.2	-0.036323
0.070000	0.2	-0.039683
0.073333	0.2	-0.042323
0.076667	0.2	-0.044327
0.080000	0.2	-0.046200
0.083333	0.2	-0.048523
0.086667	0.2	-0.051487
0.090000	0.2	-0.055047
0.093333	0.2	-0.059165
0.096667	0.2	-0.063560
0.100000	0.2	-0.067760
0.103333	0.2	-0.071357
0.106667	0.2	-0.074041
0.110000	0.2	-0.075688
0.113333	0.2	-0.076346
0.116667	0.2	-0.075859
0.120000	0.2	-0.073503
0.123333	0.2	-0.068088
0.126667	0.2	-0.058632
0.130000	0.2	-0.045540
0.133333	0.2	-0.031431
0.136667	0.2	-0.020291
0.140000	0.2	-0.015411
0.143333	0.2	-0.017937
0.146667	0.2	-0.026779
0.150000	0.2	-0.039445
0.153333	0.2	-0.053368
0.156667	0.2	-0.066827
0.160000	0.2	-0.077822
0.163333	0.2	-0.000531
0.166667	0.2	0.650223
0.170000	0.2	2.828945
0.173333	0.2	6.923967
0.176667	0.2	11.639854
0.180000	0.2	14.780558
0.183333	0.2	15.105956
0.186667	0.2	12.997163
0.190000	0.2	9.777337
0.193333	0.2	6.788244
0.196667	0.2	4.824727
0.200000	0.2	4.146278
0.203333	0.2	4.799037
0.206667	0.2	6.591099
0.210000	0.2	8.809192
0.213333	0.2	10.393875
0.216667	0.2	10.563953
0.220000	0.2	9.234278
0.223333	0.2	6.942347
0.226667	0.2	4.492280
0.230000	0.2	2.581287
0.233333	0.2	1.552855
0.236667	0.2	1.341329
0.240000	0.2	1.602401
0.243333	0.2	1.935190
0.246667	0.2	2.064623
0.250000	0.2	1.906696
0.253333	0.2	1.527460
0.256667	0.2	1.056838
0.260000	0.2	0.613827
0.263333	0.2	0.268814
0.266667	0.2	0.040698
0.270000	0.2	-0.086917
0.273333	0.2	-0.145597
0.276667	0.2	-0.166642
0.280000	0.2	-0.172804
0.283333	0.2	-0.176350
0.286667	0.2	-0.181560
0.290000	0.2	-0.188763
0.293333	0.2	-0.197287
0.296667	0.2	-0.206482
0.300000	0.2	-0.215598
0.303333	0.2	-0.223720
0.306667	0.2	-0.230086
0.310000	0.2	-0.234453
0.313333	0.2	-0.237138
0.316667	0.2	-0.238604
0.320000	0.2	-0.239279
0.323333	0.2	-0.239797
0.326667	0.2	-0.240770
0.330000	0.2	-0.242368
0.333333	0.2	-0.244474
0.336667	0.2	-0.246985
0.340000	0.2	-0.249745
0.343333	0.2	-0.252557
0.346667	0.2	-0.255395
0.350000	0.2	-0.258365
0.353333	0.2	-0.261501
0.356667	0.2	-0.264797
0.360000	0.2	-0.268194
0.363333	0.2	-0.271526
0.366667	0.2	-0.274711
0.370000	0.2	-0.277754
0.373333	0.2	-0.280615
0.376667	0.2	-0.283307
0.380000	0.2	-0.285839
0.383333	0.2	-0.288117
0.386667	0.2	-0.290022
0.390000	0.2	-0.291379
0.393333	0.2	-0.292058
0.396667	0.2	-0.292321
0.400000	0.2	-0.292768
0.403333	0.2	-0.293837
0.406667	0.2	-0.295611
0.410000	0.2	-0.297954
0.413333	0.2	-0.300536
0.416667	0.2	-0.302816
0.420000	0.2	-0.304424
0.423333	0.2	-0.305555
0.426667	0.2	-0.306752
0.430000	0.2	-0.308298
0.433333	0.2	-0.309970
0.436667	0.2	-0.311563
0.440000	0.2	-0.313416
0.443333	0.2	-0.316086
0.446667	0.2	-0.319566
0.450000	0.2	-0.323089
0.453333	0.2	-0.325793
0.456667	0.2	-0.327549
0.460000	0.2	-0.329027
0.463333	0.2	-0.330810
0.466667	0.2	-0.332656
0.470000	0.2	-0.333858
0.473333	0.2	-0.334068
0.476667	0.2	-0.333580
0.480000	0.2	-0.333087
0.483333	0.2	-0.333134
0.486667	0.2	-0.333643
0.490000	0.2	-0.334096
0.493333	0.2	-0.334318
0.496667	0.2	-0.334825
0.500000	0.2	-0.336180
0.503333	0.2	-0.338361
0.506667	0.2	-0.341083
0.510000	0.2	-0.344301
0.513333	0.2	-0.347967
0.516667	0.2	-0.351703
0.520000	0.2	-0.355030
0.523333	0.2	-0.357675
0.526667	0.2	-0.359592
0.530000	0.2	-0.360934
0.533333	0.2	-0.361978
0.536667	0.2	-0.362924
0.540000	0.2	-0.363842
0.543333	0.2	-0.364710
0.546667	0.2	-0.365343
0.550000	0.2	-0.365688
0.553333	0.2	-0.366205
0.556667	0.2	-0.367394
0.560000	0.2	-0.369163
0.563333	0.2	-0.371142
0.566667	0.2	-0.372992
0.570000	0.2	-0.374189
0.573333	0.2	-0.374226
0.576667	0.2	-0.373086
0.580000	0.2	-0.371244
0.583333	0.2	-0.369288
0.586667	0.2	-0.367531
0.590000	0.2	-0.365981
0.593333	0.2	-0.364655
0.596667	0.2	-0.363782
0.600000	0.2	-0.363485
0.603333	0.2	-0.363258
0.606667	0.2	-0.362092
0.610000	0.2	-0.359398
0.613333	0.2	-0.355538
0.616667	0.2	-0.351342
0.620000	0.2	-0.347304
0.623333	0.2	-0.343240
0.626667	0.2	-0.338679
0.630000	0.2	-0.333536
0.633333	0.2	-0.328099
0.636667	0.2	-0.322562
0.640000	0.2	-0.316883
0.643333	0.2	-0.310911
0.646667	0.2	-0.304481
0.650000	0.2	-0.297473
0.653333	0.2	-0.289946
0.656667	0.2	-0.282180
0.660000	0.2	-0.274302
0.663333	0.2	-0.265927
0.666667	0.2	-0.256490
0.670000	0.2	-0.245859
0.673333	0.2	-0.234346
0.676667	0.2	-0.222306
0.680000	0.2	-0.209931
0.683333	0.2	-0.197323
0.686667	0.2	-0.184646
0.690000	0.2	-0.171921
0.693333	0.2	-0.158640
0.696667	0.2	-0.144256
0.700000	0.2	-0.128979
0.703333	0.2	-0.113518
0.706667	0.2	-0.098389
0.710000	0.2	-0.083732
0.713333	0.2	-0.069321
0.716667	0.2	-0.054579
0.720000	0.2	-0.038842
0.723333	0.2	-0.021836
0.726667	0.2	-0.003897
0.730000	0.2	0.014224
0.733333	0.2	0.031848
0.736667	0.2	0.048894
0.740000	0.2	0.066069
0.743333	0.2	0.084310
0.746667	0.2	0.103949
0.750000	0.2	0.124484
0.753333	0.2	0.145139
0.756667	0.2	0.165572
0.760000	0.2	0.185996
0.763333	0.2	0.206633
0.766667	0.2	0.227421
0.770000	0.2	0.248382
0.773333	0.2	0.269796
0.776667	0.2	0.291828
0.780000	0.2	0.314278
0.783333	0.2	0.336634
0.786667	0.2	0.358352
0.790000	0.2	0.379316
0.793333	0.2	0.399965
0.796667	0.2	0.420860
0.800000	0.2	0.442358
0.803333	0.2	0.464669
0.806667	0.2	0.487931
0.810000	0.2	0.512007
0.813333	0.2	0.536300
0.816667	0.2	0.560072
0.820000	0.2	0.582827
0.823333	0.2	0.604391
0.826667	0.2	0.625055
0.830000	0.2	0.645365
0.833333	0.2	0.665632
0.836667	0.2	0.685908
0.840000	0.2	0.706004
0.843333	0.2	0.725598
0.846667	0.2	0.744722
0.850000	0.2	0.763928
0.853333	0.2	0.783951
0.856667	0.2	0.805282
0.860000	0.2	0.827859
0.863333	0.2	0.851145
0.866667	0.2	0.874272
0.870000	0.2	0.896124
0.873333	0.2	0.915670
0.876667	0.2	0.932578
0.880000	0.2	0.947592
0.883333	0.2	0.962103
0.886667	0.2	0.977155
0.890000	0.2	0.992945
0.893333	0.2	1.009124
0.896667	0.2	1.025235
0.900000	0.2	1.040953
0.903333	0.2	1.056291
0.906667	0.2	1.071591
0.910000	0.2	1.087471
0.913333	0.2	1.104762
0.916667	0.2	1.123933
0.920000	0.2	1.144568
0.923333	0.2	1.165613
0.926667	0.2	1.186101
0.930000	0.2	1.205570
0.933333	0.2	1.223735
0.936667	0.2	1.240206
0.940000	0.2	1.254992
0.943333	0.2	1.268962
0.946667	0.2	1.284447
