URL	chrom://pc-3vxg514/ChromeleonLocal/Data/2024/2024_w23.seq/118.smp/UV_VIS_2.channel/UV_VIS_2.chm
Channel	UV_VIS_2

Injection Information:
Data Vault	ChromeleonLocal
Sequence	2024_w23
Name	photo-ODIBO
Number	61
Position	GE5
Comment	
Processing Method	General_ILK
Instrument Method	5-100pct_positive_3min
Type	Calibration Standard
Status	Finished
Inject Time	6/5/2024 11:38:15 AM +02:00
Volume (µl)	2.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	3.100000
Data Points	931
Detector	UV
Generating Data System	Chromeleon 7.3.2.11814
Exporting Data System	Chromeleon 7.3.2.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.016627
Signal Max.	866.537618
Channel	UV_VIS_2
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:254 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.000000	n.a.	0.000000
0.003333	0.2	-0.000149
0.006667	0.2	-0.000887
0.010000	0.2	-0.002411
0.013333	0.2	-0.004176
0.016667	0.2	-0.005578
0.020000	0.2	-0.006572
0.023333	0.2	-0.007391
0.026667	0.2	-0.008221
0.030000	0.2	-0.009107
0.033333	0.2	-0.010071
0.036667	0.2	-0.011180
0.040000	0.2	-0.012434
0.043333	0.2	-0.013865
0.046667	0.2	-0.015406
0.050000	0.2	-0.016464
0.053333	0.2	-0.016258
0.056667	0.2	-0.014807
0.060000	0.2	-0.013026
0.063333	0.2	-0.011790
0.066667	0.2	-0.011423
0.070000	0.2	-0.011847
0.073333	0.2	-0.012788
0.076667	0.2	-0.013967
0.080000	0.2	-0.015126
0.083333	0.2	-0.015846
0.086667	0.2	-0.015686
0.090000	0.2	-0.014644
0.093333	0.2	-0.013237
0.096667	0.2	-0.011952
0.100000	0.2	-0.010807
0.103333	0.2	-0.009570
0.106667	0.2	-0.008171
0.110000	0.2	-0.006608
0.113333	0.2	-0.004557
0.116667	0.2	-0.001407
0.120000	0.2	0.003212
0.123333	0.2	0.009304
0.126667	0.2	0.016932
0.130000	0.2	0.026145
0.133333	0.2	0.036270
0.136667	0.2	0.045596
0.140000	0.2	0.051906
0.143333	0.2	0.053574
0.146667	0.2	0.050498
0.150000	0.2	0.043987
0.153333	0.2	0.035810
0.156667	0.2	0.027614
0.160000	0.2	0.022171
0.163333	0.2	0.137984
0.166667	0.2	1.078521
0.170000	0.2	4.318310
0.173333	0.2	10.628617
0.176667	0.2	18.212723
0.180000	0.2	23.603846
0.183333	0.2	24.556316
0.186667	0.2	21.376125
0.190000	0.2	15.990205
0.193333	0.2	10.495389
0.196667	0.2	6.321116
0.200000	0.2	4.067344
0.203333	0.2	3.664130
0.206667	0.2	4.549671
