URL	chrom://pc-3vxg514/ChromeleonLocal/Data/2024/2024_w23.seq/944.smp/UV_VIS_2.channel/UV_VIS_2.chm
Channel	UV_VIS_2

Injection Information:
Data Vault	ChromeleonLocal
Sequence	2024_w23
Name	ODIBO_UV_90min
Number	67
Position	GE5
Comment	
Processing Method	General_ILK
Instrument Method	5-100pct_positive_3min
Type	Calibration Standard
Status	Finished
Inject Time	6/5/2024 1:55:24 PM +02:00
Volume (µl)	1.5000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	3.100000
Data Points	931
Detector	UV
Generating Data System	Chromeleon 7.3.2.11814
Exporting Data System	Chromeleon 7.3.2.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.029004
Signal Max.	302.009123
Channel	UV_VIS_2
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:254 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.000000	n.a.	0.000000
0.003333	0.2	-0.000042
0.006667	0.2	-0.000219
0.010000	0.2	-0.000455
0.013333	0.2	-0.000321
0.016667	0.2	0.000686
0.020000	0.2	0.002555
0.023333	0.2	0.004489
0.026667	0.2	0.005511
0.030000	0.2	0.005245
0.033333	0.2	0.003817
0.036667	0.2	0.001628
0.040000	0.2	-0.000562
0.043333	0.2	-0.002031
0.046667	0.2	-0.002609
0.050000	0.2	-0.002621
0.053333	0.2	-0.002581
0.056667	0.2	-0.002876
0.060000	0.2	-0.003383
0.063333	0.2	-0.003467
0.066667	0.2	-0.002708
0.070000	0.2	-0.001613
0.073333	0.2	-0.001065
0.076667	0.2	-0.001200
0.080000	0.2	-0.001556
0.083333	0.2	-0.001942
0.086667	0.2	-0.002385
0.090000	0.2	-0.002805
0.093333	0.2	-0.003318
0.096667	0.2	-0.004321
0.100000	0.2	-0.005969
0.103333	0.2	-0.007772
0.106667	0.2	-0.008826
0.110000	0.2	-0.008488
0.113333	0.2	-0.006762
0.116667	0.2	-0.003964
0.120000	0.2	-0.000066
0.123333	0.2	0.005420
0.126667	0.2	0.012950
0.130000	0.2	0.022281
0.133333	0.2	0.032098
0.136667	0.2	0.040455
0.140000	0.2	0.045702
0.143333	0.2	0.047121
0.146667	0.2	0.044897
0.150000	0.2	0.039739
0.153333	0.2	0.032708
0.156667	0.2	0.025072
0.160000	0.2	0.017914
0.163333	0.2	0.066704
0.166667	0.2	0.616256
0.170000	0.2	2.829349
0.173333	0.2	7.661167
0.176667	0.2	14.087438
0.180000	0.2	19.261694
0.183333	0.2	20.878320
0.186667	0.2	18.756688
0.190000	0.2	14.370025
0.193333	0.2	9.618475
0.196667	0.2	5.972458
0.200000	0.2	4.132677
0.203333	0.2	4.016779
0.206667	0.2	4.948847
0.210000	0.2	6.066269
0.213333	0.2	6.852658
0.216667	0.2	7.352918
0.220000	0.2	7.801499
0.223333	0.2	8.157138
0.226667	0.2	8.116264
0.230000	0.2	7.451905
0.233333	0.2	6.218847
0.236667	0.2	4.692822
0.240000	0.2	3.195000
0.243333	0.2	1.955921
0.246667	0.2	1.069948
0.250000	0.2	0.519053
0.253333	0.2	0.224268
0.256667	0.2	0.092836
0.260000	0.2	0.047290
0.263333	0.2	0.036152
0.266667	0.2	0.032282
0.270000	0.2	0.025749
0.273333	0.2	0.015953
0.276667	0.2	0.005622
0.280000	0.2	-0.002546
0.283333	0.2	-0.007270
0.286667	0.2	-0.008950
0.290000	0.2	-0.008987
0.293333	0.2	-0.008681
0.296667	0.2	-0.008841
0.300000	0.2	-0.009926
0.303333	0.2	-0.011899
0.306667	0.2	-0.014258
0.310000	0.2	-0.016490
0.313333	0.2	-0.018261
0.316667	0.2	-0.019303
0.320000	0.2	-0.019485
0.323333	0.2	-0.019064
0.326667	0.2	-0.018496
0.330000	0.2	-0.017929
0.333333	0.2	-0.017270
